cliente_id,eta,anni_fedelta,distanza_pdv_km,formato_pdv,canale,uso_app,n_visite_mese,scontrino_medio,spesa_media_mensile,n_categorie,recency_giorni,pct_promozioni,reclami_12m,quota_freschi,quota_mdd,sensibilita_volantino,reparto_preferito,idx_zona_meteo,giorno_iscrizione_carta,punteggio_sondaggio,churn,spesa_prevista_12m
CN000001,33,0,2.2,Conad City,negozio,1,5,20.54,98.52,6,7,0.218,0,0.402,0.181,0.214,cura_persona,17.8,6,7,0,1883.64
CN000002,47,4,13.0,Conad City,online,0,2,6.17,10.27,2,4,0.569,0,0.542,0.566,0.732,dispensa,6.5,5,4,0,806.66
CN000003,28,0,2.0,Conad,negozio,1,1,45.86,46.57,4,39,0.327,0,0.674,0.352,0.489,bio_benessere,20.2,15,0,1,1174.62
CN000004,37,2,12.4,Conad,misto,0,5,40.36,208.98,6,8,0.302,0,0.557,0.295,0.345,cura_persona,17.0,24,6,0,3497.93
CN000005,44,1,1.4,Conad Superstore,negozio,0,5,23.69,121.23,1,10,0.316,0,0.556,0.33,0.375,dispensa,20.2,6,3,0,1275.49
CN000006,42,1,14.5,Conad,negozio,1,1,11.65,10.92,1,10,0.584,0,0.593,0.704,0.787,cura_persona,11.6,28,3,1,627.48
CN000007,59,10,2.2,Conad City,negozio,1,9,21.04,172.03,7,7,0.497,0,0.529,0.551,0.712,cura_casa,9.7,9,1,0,4512.72
CN000008,37,0,0.5,Conad City,negozio,0,2,7.4,15.84,2,35,0.346,0,0.461,0.37,0.434,pescheria,15.8,3,5,1,590.86
CN000009,18,0,6.3,Conad,negozio,0,2,21.58,54.18,1,66,0.156,0,0.635,0.232,0.247,bio_benessere,9.4,24,1,1,253.41
CN000010,23,3,3.8,Conad,misto,1,7,8.3,56.04,2,6,0.204,0,0.518,0.143,0.18,bio_benessere,13.3,7,1,0,1891.45
CN000011,48,3,0.5,Conad City,negozio,1,11,20.74,243.35,4,11,0.549,2,0.561,0.569,0.829,bio_benessere,19.2,8,1,0,2961.07
CN000012,39,1,0.8,Conad City,negozio,0,4,25.84,99.19,4,19,0.123,1,0.505,0.267,0.163,bio_benessere,20.7,25,0,0,1304.75
CN000013,29,3,3.8,Conad,negozio,1,4,26.01,102.95,3,11,0.286,2,0.593,0.318,0.479,macelleria,20.8,14,2,1,1525.41
CN000014,77,10,3.2,Conad,negozio,0,6,38.4,215.54,8,13,0.808,3,0.742,0.9,0.998,dispensa,9.7,21,4,0,3593.99
CN000015,60,5,6.6,Conad City,misto,1,3,26.5,83.83,3,51,0.507,0,0.562,0.458,0.622,bio_benessere,14.8,22,0,1,779.23
CN000016,47,0,4.9,Conad,negozio,0,2,11.77,19.36,3,43,0.527,1,0.627,0.588,0.776,ortofrutta,16.5,7,8,1,377.47
CN000017,51,4,3.9,Conad,negozio,0,5,33.2,128.0,4,21,0.14,0,0.664,0.104,0.176,pescheria,18.9,13,3,0,1993.19
CN000018,44,2,1.5,Conad Superstore,negozio,1,3,26.33,77.06,3,9,0.065,0,0.749,0.157,0.158,bio_benessere,16.2,13,7,0,2430.91
CN000019,29,0,1.0,Conad City,misto,0,3,25.92,86.5,1,44,0.525,0,0.502,0.614,0.717,cura_casa,16.1,8,0,1,642.31
CN000020,63,5,2.1,Conad City,negozio,1,3,13.09,42.13,2,19,0.313,0,0.389,0.376,0.328,cura_casa,11.6,12,0,0,896.47
CN000021,61,7,6.5,Conad Superstore,negozio,1,5,43.28,230.33,4,15,0.723,1,0.7,0.611,0.862,gastronomia,22.5,5,7,1,3572.31
CN000022,18,0,5.6,Conad,online,1,4,27.46,132.99,7,12,0.407,0,0.542,0.443,0.609,cura_casa,14.8,4,3,0,2395.57
CN000023,51,7,1.1,Conad Superstore,online,1,6,46.97,326.1,7,25,0.913,0,0.71,0.9,0.906,dispensa,19.2,2,9,0,4923.95
CN000024,53,3,2.1,Conad,negozio,0,2,28.95,56.49,4,23,0.222,0,0.581,0.241,0.372,ortofrutta,6.4,24,1,0,1277.71
CN000025,43,2,11.6,Conad City,negozio,1,4,20.55,78.49,3,5,0.375,0,0.561,0.446,0.543,cura_persona,15.1,12,6,0,1783.81
CN000026,79,9,10.8,Conad,negozio,0,5,25.95,108.79,5,38,0.165,0,0.621,0.229,0.162,cura_persona,17.8,9,5,1,1772.82
